binzm1,binzm2,binzm3,binzm4,binzm5,binzm6,bincs1,bincs2,bincs3,bincs4,bincs5,bincs6,binoo1,binoo2,binoo3,binoo4,binoo5,binoo6
1.693198492,1.614714126,1.452867059,1.368920864,1.252462234,1.244830226,1.093281118,0.975851974,1.048872211,1.024481838,1.047127728,1.007691738,5.222860213,5.591201869,5.547980365,5.407330105,5.783360359,5.559457998
1.517267604,1.63604963,1.641564463,1.497154441,1.359533736,1.517924765,0.897708324,0.758084443,1.178944227,0.839713652,0.9719154,1.165985202,5.008938328,5.417766942,5.08898302,5.2420315,5.172206003,4.928165528
0.79541485,0.823191139,1.890642989,1.188298115,1.004797351,0.903325195,0.700948762,1.191072954,1.095298329,0.888509496,1.021217293,0.903272963,6.003383401,5.775838546,5.728216728,5.375878966,5.960489213,5.83051199
2.613195457,2.259364395,2.218405689,1.884025692,2.097796283,1.965678773,1.731493412,1.297259134,1.345311735,0.998001216,1.914675991,1.293734272,4.521056461,5.387127287,5.224998282,5.010526056,5.395438083,5.310652898
1.320891854,1.591803758,2.301399861,2.331490555,1.690006603,2.366933611,0.812231238,0.915289727,1.053027298,1.147524237,1.075731223,1.299605891,5.294799149,5.235268401,5.388541472,5.174095839,5.114125186,4.903659157
1.504018976,6.297501951,1.465535069,1.422694117,1.241885318,0.940142073,1.0157668,2.11825822,1.215985918,0.928424528,0.865568772,0.647026276,4.955870007,4.971186,4.911561604,5.843448013,5.057181461,4.843786038
0.697629426,0.721434757,0.655806272,1.353417033,7.428013856,10.97741543,0.94143545,1.591608428,1.439702881,1.220090676,2.340626067,1.895539572,3.687807107,4.253352622,3.690680642,3.859096016,3.532388619,4.046331509
1.487480875,0.96756643,0.847028563,1.826057436,1.799763395,1.280812355,0.867979328,1.172924949,0.793101399,1.169853358,0.83744949,0.956033128,5.139198408,5.515428618,6.137694493,5.272996506,5.775651776,5.837436611
2.299599905,1.150480205,1.035997927,1.041233111,1.174571962,0.947367031,1.271476431,0.882310673,0.552513829,0.700151124,0.925782348,0.889633558,5.419998371,5.040039729,5.173334488,5.181633161,4.640043042,5.038823403
2.813073284,3.751480503,2.967618693,2.159488599,2.901172755,2.214699315,1.403882769,1.56674226,1.563235034,1.224119598,1.378007432,1.252525009,5.131633264,5.115708056,5.009634915,5.648137131,5.696188194,4.855867545
0.964109203,1.114743658,1.752711345,1.022565958,1.283897772,1.074647095,1.079358277,0.946300896,1.436134592,0.928697655,1.120095091,0.846282471,4.905318925,5.2578266,4.987820739,4.812963118,5.081911471,4.478057996
0.940212116,1.081982613,2.099363594,7.331273271,3.271433232,1.131091199,0.69209045,0.82723338,1.225203769,1.822621903,1.734752196,1.058345379,5.315063114,5.790339789,6.013882965,5.950000628,5.269028492,5.580557178
1.156659272,0.951833318,1.033349662,1.309173512,1.23704221,1.291822184,0.961236729,0.893477967,0.992023654,1.054465146,0.965930467,1.276629719,5.55730405,5.776042897,5.306854734,5.255207278,5.524572724,5.478467181
2.651742413,1.741987096,1.638373017,1.620774583,1.518670562,1.378784168,1.522538017,0.887686178,1.395370803,0.7884934,0.815331434,1.246561633,4.664091792,5.841493623,5.263948091,5.804820728,5.086391413,4.394678975
1.540621253,1.779740614,1.589065471,1.538731836,1.534224274,1.500788742,0.853050353,1.04501086,1.062581112,0.932501842,1.159692437,0.87971295,5.435427273,5.306905691,5.420545179,5.049222413,5.379573392,4.678915687
